epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
79,5588.68,1.07422,0.72499,0.96417,0.01706,0.91615,0.88923,0.93705,0.62664,1.06426,0.6352,0.98262,0.01083,0.0004556,0.0004556,0.0004556
80,5661.43,1.05966,0.70294,0.96695,0.01575,0.90717,0.89787,0.93428,0.62628,1.05709,0.63012,0.98384,0.01068,0.0004358,0.0004358,0.0004358
81,5737.14,1.06131,0.71474,0.96891,0.01598,0.90808,0.89382,0.9361,0.63524,1.03506,0.62293,0.9798,0.01083,0.000416,0.000416,0.000416
82,5809.09,1.07258,0.70886,0.96441,0.01722,0.91763,0.88668,0.93703,0.63489,1.04089,0.62355,0.97911,0.01079,0.0003962,0.0003962,0.0003962
83,5880.01,1.06626,0.70666,0.96415,0.01655,0.90769,0.89178,0.93526,0.63098,1.06017,0.63085,0.98339,0.011,0.0003764,0.0003764,0.0003764
84,5950.27,1.05555,0.70724,0.96104,0.01725,0.92066,0.88515,0.93927,0.63321,1.04391,0.62495,0.97973,0.01102,0.0003566,0.0003566,0.0003566
85,6021.72,1.07025,0.70179,0.96095,0.0171,0.92017,0.8928,0.93951,0.63626,1.03806,0.6166,0.9737,0.01086,0.0003368,0.0003368,0.0003368
86,6096.13,1.06195,0.70289,0.97407,0.01649,0.91503,0.90151,0.93783,0.63693,1.04202,0.61541,0.97966,0.01108,0.000317,0.000317,0.000317
87,6167.24,1.04532,0.69292,0.96124,0.01622,0.90987,0.89666,0.93848,0.62942,1.04219,0.62074,0.97954,0.01109,0.0002972,0.0002972,0.0002972
88,6238.83,1.04232,0.695,0.95809,0.01582,0.9073,0.9025,0.93866,0.63359,1.04919,0.61385,0.98203,0.01077,0.0002774,0.0002774,0.0002774
89,6310.15,1.03936,0.68614,0.94866,0.01532,0.92046,0.89789,0.94121,0.64111,1.03005,0.60537,0.97467,0.01035,0.0002576,0.0002576,0.0002576
90,6380.75,1.03571,0.68994,0.9585,0.01631,0.92587,0.88566,0.93933,0.63142,1.04719,0.61226,0.98134,0.01029,0.0002378,0.0002378,0.0002378
91,6452.78,0.98877,0.63024,0.97458,0.0135,0.91604,0.88549,0.93741,0.63677,1.03653,0.61832,0.97814,0.01074,0.000218,0.000218,0.000218
92,6519.37,0.99154,0.62312,0.97279,0.01347,0.91391,0.88259,0.93617,0.63739,1.03565,0.6153,0.9795,0.01078,0.0001982,0.0001982,0.0001982
93,6585.01,0.97835,0.62598,0.9725,0.01308,0.92231,0.88515,0.93803,0.6384,1.02844,0.613,0.97283,0.01052,0.0001784,0.0001784,0.0001784
94,6652.66,0.96897,0.61126,0.96399,0.01247,0.91677,0.8877,0.93894,0.6433,1.02746,0.60512,0.97611,0.01034,0.0001586,0.0001586,0.0001586
95,6718.44,0.96868,0.61485,0.97266,0.01245,0.92177,0.89019,0.93924,0.64278,1.02575,0.6116,0.97367,0.01051,0.0001388,0.0001388,0.0001388
