chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c07470.png,2243,89.0,0.000179,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c03886.png,2837,92.0,0.009304,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c07982.png,2311,91.0,0.0,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c05422.png,2291,90.0,2.7e-05,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c07214.png,2183,90.0,0.001026,1.0678
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06898_c07726.png,2250,93.0,1.5e-05,1.0656
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c04142.png,2288,96.0,0.000164,1.0645
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c06446.png,2291,86.6,0.002636,1.0638
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c04142.png,2531,97.0,0.004284,1.0635
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c03630.png,2435,97.0,0.004486,1.0635
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c07470.png,2261,88.6,3.4e-05,1.0626
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c07726.png,2189,102.0,0.000206,1.0606
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c03886.png,2333,103.0,0.002678,1.0597
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c04654.png,2724,85.0,0.010406,1.0545
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c06190.png,2804,84.0,0.012077,1.0545
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c05422.png,3241,87.0,0.016315,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c03630.png,3104,87.0,0.013206,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c04398.png,3097,87.0,0.013824,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c06190.png,2343,87.0,0.004238,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c04398.png,3764,86.0,0.021996,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c06190.png,3786,85.0,0.021046,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c04398.png,3337,85.0,0.017303,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c03374.png,3302,85.0,0.015808,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c05166.png,2874,85.0,0.012844,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c03630.png,2831,85.0,0.011555,1.0536
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c06190.png,2370,89.0,0.003788,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c04398.png,3930,87.0,0.02042,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c04142.png,3642,87.0,0.019314,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c05934.png,2600,87.0,0.00835,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c07726.png,2373,87.0,0.002541,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c06958.png,2361,87.0,0.003193,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c05678.png,2307,87.0,1.1e-05,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c07470.png,2254,87.0,4.6e-05,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c06702.png,3369,86.0,0.017582,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c06446.png,3035,86.0,0.013668,1.0526
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c05422.png,3346,89.0,0.014751,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c05934.png,2855,89.0,0.009499,1.0517
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c06958.png,2347,89.0,0.002586,1.0517
