chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c12145.png,4107,96.0,0.018555,1.0968
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c14961.png,2961,101.0,0.001869,1.0952
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c13681.png,2778,100.0,0.006836,1.0952
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c12913.png,2567,98.0,0.002235,1.0952
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c12145.png,2550,98.0,0.001686,1.0952
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c15729.png,3054,95.0,0.009388,1.0952
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09310_c12913.png,4011,99.0,0.018368,1.0938
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c11377.png,3752,99.0,0.015774,1.0938
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c12657.png,2631,101.0,0.002136,1.0923
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c15217.png,2712,103.0,0.001701,1.0896
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c14449.png,2750,108.0,0.005718,1.0882
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c15729.png,2674,88.0,0.000126,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c12401.png,2609,88.0,4e-06,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c13169.png,2535,93.0,0.000763,1.0862
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c13425.png,2802,90.0,0.003162,1.0862
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c13425.png,2598,90.0,0.0023,1.0862
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c13169.png,3170,96.0,0.01223,1.0833
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c14193.png,2506,93.0,0.002182,1.0833
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09310_c15217.png,3117,90.0,0.011131,1.0833
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c15729.png,3141,98.0,0.010479,1.0806
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c12401.png,2790,100.0,0.005085,1.0794
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c12401.png,2693,100.0,0.004818,1.0794
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09822_c14705.png,2814,95.0,0.006264,1.0794
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09822_c14961.png,4309,98.0,0.016994,1.0781
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c12657.png,3958,100.0,0.019199,1.0769
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c15473.png,2968,97.0,0.005756,1.0769
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c14961.png,2822,97.0,0.005199,1.0769
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c13169.png,2740,97.0,0.005417,1.0769
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c13681.png,2733,105.0,0.004101,1.0746
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c12657.png,2644,86.0,0.000237,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c11889.png,2603,86.0,0.000126,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c11633.png,2599,86.0,0.000107,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c11889.png,2582,86.0,0.00013,1.0714
